   701→| Women's Solid Tight Sleeveless Dress | WO0002 | XS–L | 3 | 260gsm/7.7oz | $8.99 | — |
   702→| Women's Mineral Wash Crewneck Bodysuit | WT0091 | S–2XL | 1 | 275gsm/8.1oz | $12.99 | — |
   703→| Women's Tight Flared Leg Quarter-Zip Jumpsuit | WO0009 | S–XL | 5 | 230gsm/6.8oz | $19.99 | NEW |
   704→| Women's Halter Flared Jumpsuit | WO0013 | S–2XL | 4 | 220gsm/6.5oz | $16.99 | NEW |
   705→| Women's Color Block Mini Dress | WO0004 | S–XL | 3 | 260gsm/7.7oz | $9.99 | — |
   706→| Women's Quarter-Zip Short Sleeve Romper | WO0012 | S–XL | 5 | 230gsm/6.8oz | $14.99 | BESTSELLER, NEW |
   707→| Women's Collared Halter A-Line Tennis Dress | WO0008 | S–2XL | 5 | 210gsm/6.2oz | $12.99 | BESTSELLER |
   708→| Women's V-Neck Short Sleeve Maxi Dress | WO0001 | S–XL | 3 | 260gsm/7.7oz | $12.99 | — |
   709→| Women's Binding Tight Halter Dress | WO0005 | S–XL | 3 | 210gsm/6.2oz | $9.99 | — |
   710→| Women's Paneled A-Line Dress | WO0010 | S–2XL | 5 | 210gsm/6.2oz | $16.99 | NEW |
   711→| Women's Dual-Function Cape Tie-Waist Romper | WO0006 | S–2XL | 5 | 250gsm/7.4oz | $16.99 | — |
   712→| Women's Color Block A-Line Sleeveless Dress | WO0011 | 2XS–XL | 3 | 220gsm/6.5oz | $16.99 | NEW |
   713→| Women's Full-Zip Ruched Bodysuit | WT0176 | S–XL | 3 | 315gsm/9.3oz | $14.99 | NEW |
   714→| Women's Ruched Sleeveless Full-Zip Dress | WO0015 | S–XL | 8 | 220gsm/6.5oz | $26.99 | NEW |
   715→
   716→### A11. Coats & Jackets (4 SKUs)
   717→
   718→| Name | SKU | Sizes | Colors | Fabric | Price | Badge |
   719→|---|---|---|---|---|---|---|
   720→| Women's Mock Neck Zip Up Cardigan | — | S–XL | 4 | 420gsm/12.4oz | — | NEW |
   721→| Women's Crop Denim Jacket | WT0186 | S–XL | 2 | 420gsm/12.4oz | $29.99 | NEW |
   722→| Women's Full-Zip Sports Jacket | WT0162 | S–XL | 3 | 230gsm/6.8oz | $16.99 | NEW |
   723→| Contrast Side Stripe Fleece Cropped Track Jacket | WQ0004 | S–XL | 4 | 420gsm/12.4oz | $26.99 | — |
   724→
   725→### A12. Polo Shirts (4 SKUs)
   726→
   727→| Name | SKU | Sizes | Colors | Fabric | Price | Badge |
   728→|---|---|---|---|---|---|---|
   729→| Women's Slim Fit Quarter-Zip Polo Shirt | WT0163 | 2XS–XL | 5 | 160gsm/4.7oz | $12.99 | NEW |
   730→| Essential Cropped Polo Shirt | PL0007 | S–XL | 3 | 200gsm/5.9oz | $9.99 | — |
   731→| Bodycon Short Sleeve Polo Shirt | PL0008 | S–XL | 3 | 260gsm/7.7oz | $9.99 | — |
   732→| Women's Knit Cotton Polo Shirt | WT0172 | S–XL | 4 | 180gsm/5.3oz | $14.99 | NEW |
   733→
   734→**Blank Apparel total: 284 rows extracted** (source stated 281 items across pagination; a handful of near-duplicate name/SKU pairs from overlapping page loads were kept as-is rather than guessed away — flag these for dedup during import: `Snow Washed Crop Top` ×3 SKUs, `Women's Drawstring Shorts` ×2 SKUs, `Women's Vintage Wash Wide Leg Jeans` ×4 SKUs, `Essential Cropped Hoodie/Zip-Up Hoodie` ×2 each, `Women's High Rise Color Block Yoga Shorts` ×2, `Women's Cropped Sports Bra` ×2 — these look like genuine colorway/wash variants of the same style, not errors.)
   735→
   736→---
   737→
   738→## PART B — Print-on-Demand Apparel (no fixed color count; price = base print cost)
   739→
   740→| Name | Sizes | Price | Tier |
   976→| 180gsm Women's Backless Top | XS–L | From $4.67 | — |
   977→| 200gsm Women's Loungewear Pajama Set | S–5XL | From $12.77 | — |
   978→| 300gsm Button-Up Cardigan | S–5XL | From $11.96 | — |
   979→| 100gsm Long Sleeve Mesh T-Shirt | S–5XL | From $5.42 | — |
   980→| 200gsm Lace Trim V-Neck 3/4 Sleeve T-Shirt | S–5XL | From $7.48 | — |
   981→| Chic Strapless Bandana Style Bikini | XS–2XL | From $8.10 | — |
   982→| 170gsm Women's V Neck Long Sleeve Hoodie | S–3XL | From $7.20 | — |
   983→| 300gsm Sleeveless Cardigan Vest | S–2XL | From $7.63 | — |
   984→| 180gsm Cropped T-Shirt | S–3XL | From $5.70 | Premium |
   985→| 170gsm Women's Casual Blazer | S–7XL | From $9.77 | — |
   986→| 250gsm Flannel Women's Sleep Pants | S–5XL | From $7.89 | — |
   987→| Sheer Mesh One-Piece Swimsuit | S–2XL | From $11.31 | — |
   988→| 210gsm One Size Flannel Nightdress | XL | From $7.63 | — |
   989→| 210gsm V Neck Tank Top | S–3XL | From $5.06 | — |
   990→| 180gsm Puff Short Sleeve Top | 2XS–3XL | From $6.99 | — |
   991→| 170gsm Women's Lightweight Cardigan | S–6XL | From $8.42 | — |
   992→| Women's Ruffle T-shirt | XS–5XL | From $6.99 | — |
   993→| Men's POLO Shirt | S–5XL | From $10.03 | Premium |
   994→| Women's POLO Shirt | S–5XL | From $10.03 | Premium |
   995→| 200gsm Double Layer V-Neck Top | S–5XL | From $8.27 | Premium |
   996→| 180gsm Short Sleeve Nightdress | S–3XL | From $5.53 | — |
   997→| 300gsm Sleeveless Knit Sweater | S–3XL | From $5.10 | — |
   998→| 200gsm Ruffle Sleeve Dress | S–5XL | From $7.41 | — |
   999→| 250gsm Women's 2-Button POLO Shirt | S–6XL | From $8.96 | Premium |
  1000→| 180gsm Short Cami Dress | XS–5XL | From $6.17 | — |
  1001→| 200gsm Women's Lace Trim Pajama Shorts | S–5XL | From $7.20 | — |
  1002→| 135gsm Button Down Collar Dress | S–6XL | From $12.41 | Premium |
  1003→| 180gsm Women's Flare Sleeve Tee | XS–5XL | From $5.10 | — |
  1004→| 180gsm Lace Trimmed Short Sleeve Nightgown | S–5XL | From $9.81 | — |
  1005→| 200gsm Women's Ruffled Sleep Pants | S–5XL | From $8.06 | — |
  1006→| Women's Ruffled Cover Up Dress | S–2XL | From $6.49 | — |
  1007→| 180gsm Women's V Neck Rugby Jersey | XS–5XL | From $4.89 | — |
  1008→| 180gsm Ruffled Yoga Skort with Pockets | XS–3XL | From $6.13 | — |
  1009→| 195gsm Square Neck One Piece Swimsuit | S–2XL | From $8.96 | — |
  1010→| Women's Ruffled Sleeve One Piece Swimsuit | S–2XL | From $9.17 | — |
  1011→| 180gsm Women's Halter Tie Vest | XS–5XL | From $3.49 | — |
  1012→| 100gsm Mesh High Stretch Dress Cover Up | S–5XL | From $7.74 | — |
  1013→| Button Down Shirts for Women | XS–5XL | From $7.89 | — |
  1014→| 180gsm Yoga Jogger Pants | S–2XL | From $9.13 | Premium |
  1015→| 200gsm Square Neck Tank Top | S–5XL | From $6.49 | — |
  1016→| Women's POLO Tank Top | XS–4XL | From $7.29 | Premium |
  1017→| 180gsm Ruffled V Neck Dress | XS–2XL | From $9.56 | — |
  1018→| Mesh One-Piece Swimsuit | S–2XL | From $9.13 | — |
  1019→| 200gsm V Neck Camisole | XS–4XL | From $5.10 | — |
  1020→| 200gsm Flared Sleeve T-shirt | S–5XL | From $5.91 | — |
  1021→| Two-Piece Swimsuit Set | S–2XL | From $11.31 | — |
  1022→| High Waisted Quick Drying Shorts | S–3XL | From $8.64 | Premium |
  1023→| 170gsm Women's Cuban Collar Pajama Set | S–2XL | From $13.20 | — |
  1024→| 180gsm Women's Short Sleeve Pajama Set | S–4XL | From $10.41 | — |
  1025→| High Neck Tank Top | S–5XL | From $6.73 | Premium |
  1026→| 200gsm Women's Casual V Neck Dress | S–5XL | From $6.81 | — |
  1027→| 180gsm Flared Slit Dress | S–5XL | From $8.10 | — |
  1028→| 200gsm V Neck Sleeveless Dress | XS–5XL | From $8.10 | Premium |
  1029→| 120gsm Women's Ruffle Long Sleeve Robe | S–5XL | From $9.34 | — |
  1030→| 150gsm Short Sleeved Wide Leg Pants Set | S–5XL | From $8.74 | — |
  1031→| 120gsm Sleeveless Top and Wide Leg Pants Set | S–5XL | From $9.71 | — |
  1032→| 150gsm Strap Top Wide Leg Pants Set | S–5XL | From $8.74 | — |
  1033→| 200gsm Lace Trim Pajama Set | XS–2XL | From $7.41 | — |
  1034→| 200gsm Ruffled Pajama Set | S–5XL | From $10.84 | — |
  1035→| 200gsm Women's Button Up Vest | S–3XL | From $4.89 | — |
  1036→| 100gsm High Neck Mesh Top For Women | S–5XL | From $5.53 | — |
  1037→| 200gsm Casual V Neck Dress For Women | S–3XL | From $9.99 | — |
  1038→| 180gsm Irregular Hemmed Skirt | S–3XL | From $6.13 | — |
  1039→| 200gsm Women's High Waisted Pants | S–5XL | From $9.56 | — |
  1040→| 200gsm Flared Sleeve Dress For Women | S–5XL | From $6.99 | — |
  1041→| 190gsm Mesh One Piece Swimsuit For Women | S–2XL | From $12.81 | — |
  1042→| 190gsm Strap One Piece Swimsuit For Women | S–2XL | From $12.81 | — |
  1043→| 190gsm Women's V Neck One Piece Swimsuit | S–2XL | From $12.81 | — |
  1044→| 180gsm Bat Sleeve Dress For Women | S–5XL | From $6.99 | — |
  1045→| 180gsm Women's Bubble Sleeve T-Shirt | S–5XL | From $6.34 | — |
  1046→| Women's Square Neck Long Sleeved Shirt | XS–5XL | From $6.34 | — |
  1047→| 230gsm Off Shoulder Hoodie | S–5XL | From $6.39 | — |
  1048→| Square Collar Long Sleeved Jumpsuit | XS–5XL | From $6.99 | — |
  1049→| 170gsm Women's Button Up Hoodie | S–5XL | From $7.46 | — |
  1050→| 200gsm V-Neck Pajama Set | S–3XL | From $9.34 | — |
  1051→| 190gsm Netted Swimsuit Set For Women | S–2XL | From $13.67 | — |
  1052→| 190gsm Sporty Bikini Swimwear Set | S–2XL | From $9.39 | — |
  1053→| 190gsm Mesh Splicing One-Piece Swimsuit | S–2XL | From $10.03 | — |
  1054→| 190gsm Backless One-Piece Swimsuit | S–2XL | From $11.96 | — |
  1055→| 170gsm Casual Long Sleeve V-Neck Sweatshirt | S–5XL | From $6.81 | — |
  1056→| 200gsm Women's Square Neckline Ruffle Dress | S–5XL | From $8.98 | Premium |
  1057→| Women's Suit Vest | S–5XL | From $5.96 | — |
  1058→| DTG 100gsm Cotton Women's Short Sleeved Shirt | XS–5XL | From $11.10 | — |
  1059→| 100gsm Irregular Shirt For Women | S–3XL | From $13.46 | — |
  1060→| DTG 110gsm Button Down Shirt For Men | XS–4XL | From $11.31 | — |
  1061→| 200gsm Women's Straight Wide Leg Pants | S–5XL | From $8.91 | — |
  1062→| 120gsm Lantern Long Sleeve Shirt | S–5XL | From $8.96 | — |
  1063→| 180gsm Women's Long Sleeve Cardigan With Pockets | S–5XL | From $7.84 | — |
  1064→| 180gsm Ankle-length Slip Dress With Straps | S–5XL | From $8.91 | — |
  1065→| 180gsm Short Sleeved Pajama Set | S–3XL | From $8.91 | — |
  1066→
  1067→**POD total: 227 rows extracted.**
  1068→
  1069→---
  1070→
  1071→## PART C — Beauty / Skincare / Haircare / Makeup
  1072→
  1073→| Name | Concern / Ingredient Tags | Size | Price | Badge / Variants |
  1074→|---|---|---|---|---|
  1075→| Anti-Age Hydrogel Eye Patches | Anti-age, Niacinamide (B3) | 7 Pcs | $16.35 | New, Coming Soon |
  1076→| Caffeine + Vitamin C Energizing Hydrogel Eye Patches | Vitamin C, Under-eye fatigue | 7 Pcs | $16.35 | New, Coming Soon |
  1077→| Anti-Fatigue Hydrogel Eye Patches | Panthenol, Under-eye fatigue | 7 Pcs | $16.35 | New, Coming Soon |
  1078→| Hyaluronic Hydrogel Lip Mask | Dehydrated skin, Panthenol | 7 Pcs | $20.70 | New, Coming Soon |
  1079→| Anti-Age Peptide Collection | Anti-age, Dehydrated skin | 3 products | $48.30 | New, Collection Box |
  1080→| Quick Refresh Dry Shampoo Spray | Propanediol, Lack of volume | 100 ml | $11.60 | New, Coming Soon |
  1081→| Aluminum-free Roll-on Deodorant | Odor protection, Panthenol | 50 ml | $12.60 | 1 Variant |
  1082→| Peptide Age-Defying Eye Cream | Anti-age, Vitamin C | 15 ml | $9.10 | New |
  1083→| Peptide Ageless AM/PM Cream | Anti-age, Vitamin C | 50 ml | $12.50 | New |
  1084→| Exosome & Niacinamide Serum | Anti-age, Lactic Acid | 30 ml | $14.20 | New |
  1085→| Lengthening & Volumising Mascara | Peptides, Lack of volume | 6 ml | $13.30 | New |
  1086→| Matte Lipstick, Dusty Rose | Dehydrated skin, Shea Butter | 4 g | $16.20 | New, 1 Variant |
  1087→| Matte Lipstick, Terracotta Nude | Dehydrated skin, Shea Butter | 4 g | $16.20 | New, 1 Variant |
  1088→| Foundation with Peptides, 05 Fair Neutral | Peptides, Dark spots | 30 ml | $16.40 | New, 9 Variants |
  1089→| Color Correcting Ceramide Stick, 25 Medium | Damaged skin barrier, Ceramides | 12 g | $13.70 | New, 3 Variants |
  1090→| Color Correcting Ceramide Stick, 35 Deep | Damaged skin barrier, Ceramides | 12 g | $13.70 | New, 3 Variants |
  1091→| Correcting Concealer, 10 Light Warm | Hyaluronic Acid, Sensitive skin | 4 ml | $13.50 | New, 6 Variants |
  1092→| Correcting Concealer, 20 Medium Warm | Hyaluronic Acid, Sensitive skin | 4 ml | $13.50 | New, 6 Variants |
  1093→| Scalp Care Exfoliating Serum | Sodium Hyaluronate, Lack of volume | 30 ml | $13.30 | — |
  1094→| Color Correcting Ceramide Stick, 20 Light | Damaged skin barrier, Ceramides | 12 g | $13.70 | New, 3 Variants |
  1095→| Color Correcting Ceramide Stick, 30 Tan | Damaged skin barrier, Ceramides | 12 g | $13.70 | New, 3 Variants |
  1096→| Correcting Concealer, 30 Tan Neutral | Hyaluronic Acid, Sensitive skin | 4 ml | $13.50 | New, 6 Variants |
  1097→| Correcting Concealer, 35 Deep Neutral | Hyaluronic Acid, Sensitive skin | 4 ml | $13.50 | New, 6 Variants |
  1098→| Foundation with Peptides, 10 Light Warm | Peptides, Dark spots | 30 ml | $16.40 | New, 9 Variants |
  1099→| Foundation with Peptides, 15 Light Cool | Peptides, Dark spots | 30 ml | $16.40 | New, 9 Variants |
  1100→| Foundation with Peptides, 20 Medium Neutral | Peptides, Dark spots | 30 ml | $16.40 | New, 9 Variants |

[showing lines 701-1100 of 1247; use offset=1101 with limit to continue reading]
